,Date,FIPS,Recip_County,Recip_State,Series_Complete_Pop_Pct,Metro_status
239,10/22/2021,40011,Blaine County,OK,41.3,Non-metro
240,10/22/2021,25009,Essex County,MA,64.8,Metro
241,10/22/2021,55065,Lafayette County,WI,54.2,Non-metro
242,10/22/2021,48233,Hutchinson County,TX,30.8,Non-metro
243,10/22/2021,18129,Posey County,IN,43.6,Metro
244,10/22/2021,29055,Crawford County,MO,29.7,Non-metro
245,10/22/2021,54083,Randolph County,WV,28.4,Non-metro
246,10/22/2021,21159,Martin County,KY,48.9,Non-metro
247,10/22/2021,45071,Newberry County,SC,47.4,Non-metro
248,10/22/2021,31111,Lincoln County,NE,27.6,Non-metro
249,10/22/2021,47155,Sevier County,TN,44.2,Non-metro
250,10/22/2021,41051,Multnomah County,OR,70.8,Metro
251,10/22/2021,49045,Tooele County,UT,48.1,Metro
252,10/22/2021,47153,Sequatchie County,TN,30.0,Metro
253,10/22/2021,45023,Chester County,SC,40.3,Metro
254,10/22/2021,29163,Pike County,MO,34.3,Non-metro
255,10/22/2021,47139,Polk County,TN,37.9,Metro
256,10/22/2021,51009,Amherst County,VA,43.1,Metro
257,10/22/2021,53043,Lincoln County,WA,48.0,Non-metro
258,10/22/2021,17183,Vermilion County,IL,33.3,Metro
259,10/22/2021,37051,Cumberland County,NC,56.0,Metro
260,10/22/2021,37121,Mitchell County,NC,43.8,Non-metro
261,10/22/2021,31165,Sioux County,NE,22.3,Non-metro
262,10/22/2021,42121,Venango County,PA,39.8,Non-metro
263,10/22/2021,26073,Isabella County,MI,40.7,Non-metro
264,10/22/2021,47027,Clay County,TN,26.1,Non-metro
265,10/22/2021,47053,Gibson County,TN,39.6,Non-metro
266,10/22/2021,54059,Mingo County,WV,24.2,Non-metro
267,10/22/2021,39009,Athens County,OH,45.9,Non-metro
268,10/22/2021,54019,Fayette County,WV,26.5,Metro
269,10/22/2021,6057,Nevada County,CA,56.3,Non-metro
270,10/22/2021,17161,Rock Island County,IL,48.0,Metro
271,10/22/2021,24045,Wicomico County,MD,49.7,Metro
272,10/22/2021,42093,Montour County,PA,71.3,Metro
273,10/22/2021,22127,Winn Parish,LA,40.2,Non-metro
274,10/22/2021,2016,Aleutians West Census Area,AK,55.5,Non-metro
275,10/22/2021,13051,Chatham County,GA,43.9,Metro
276,10/22/2021,55025,Dane County,WI,73.6,Metro
277,10/22/2021,72091,Manati Municipio,PR,71.0,Metro
