Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,Jurisdiction of Occurrence,Urbanization Classification,COVID-19 Deaths,Total Deaths,Footnote
10/20/2021,09/06/2020,09/12/2020,2020,37,09/12/2020,United States,Nonmetropolitan,622,9203,
10/20/2021,09/13/2020,09/19/2020,2020,38,09/19/2020,United States,All Counties in the U.S.,4276,59705,
10/20/2021,09/13/2020,09/19/2020,2020,38,09/19/2020,United States,Metropolitan,3668,50493,
10/20/2021,09/13/2020,09/19/2020,2020,38,09/19/2020,United States,Nonmetropolitan,608,9212,
10/20/2021,09/20/2020,09/26/2020,2020,39,09/26/2020,United States,All Counties in the U.S.,4299,60584,
10/20/2021,09/20/2020,09/26/2020,2020,39,09/26/2020,United States,Metropolitan,3558,50978,
10/20/2021,09/20/2020,09/26/2020,2020,39,09/26/2020,United States,Nonmetropolitan,741,9606,
10/20/2021,09/27/2020,10/03/2020,2020,40,10/03/2020,United States,All Counties in the U.S.,4242,59763,
10/20/2021,09/27/2020,10/03/2020,2020,40,10/03/2020,United States,Metropolitan,3430,50361,
10/20/2021,09/27/2020,10/03/2020,2020,40,10/03/2020,United States,Nonmetropolitan,812,9402,
10/20/2021,10/04/2020,10/10/2020,2020,41,10/10/2020,United States,All Counties in the U.S.,4818,61743,
10/20/2021,10/04/2020,10/10/2020,2020,41,10/10/2020,United States,Metropolitan,3895,51921,
10/20/2021,10/04/2020,10/10/2020,2020,41,10/10/2020,United States,Nonmetropolitan,923,9822,
10/20/2021,10/11/2020,10/17/2020,2020,42,10/17/2020,United States,All Counties in the U.S.,5199,60596,
10/20/2021,10/11/2020,10/17/2020,2020,42,10/17/2020,United States,Metropolitan,4131,50965,
10/20/2021,10/11/2020,10/17/2020,2020,42,10/17/2020,United States,Nonmetropolitan,1068,9631,
10/20/2021,10/18/2020,10/24/2020,2020,43,10/24/2020,United States,All Counties in the U.S.,5996,62145,
10/20/2021,10/18/2020,10/24/2020,2020,43,10/24/2020,United States,Metropolitan,4710,51981,
10/20/2021,10/18/2020,10/24/2020,2020,43,10/24/2020,United States,Nonmetropolitan,1286,10164,
10/20/2021,10/25/2020,10/31/2020,2020,44,10/31/2020,United States,All Counties in the U.S.,7022,63380,
10/20/2021,10/25/2020,10/31/2020,2020,44,10/31/2020,United States,Metropolitan,5593,53035,
10/20/2021,10/25/2020,10/31/2020,2020,44,10/31/2020,United States,Nonmetropolitan,1429,10345,
10/20/2021,11/01/2020,11/07/2020,2020,45,11/07/2020,United States,All Counties in the U.S.,8759,67523,
10/20/2021,11/01/2020,11/07/2020,2020,45,11/07/2020,United States,Metropolitan,6906,56571,
10/20/2021,11/01/2020,11/07/2020,2020,45,11/07/2020,United States,Nonmetropolitan,1853,10952,
10/20/2021,11/08/2020,11/14/2020,2020,46,11/14/2020,United States,All Counties in the U.S.,10649,68776,
10/20/2021,11/08/2020,11/14/2020,2020,46,11/14/2020,United States,Metropolitan,8396,57284,
10/20/2021,11/08/2020,11/14/2020,2020,46,11/14/2020,United States,Nonmetropolitan,2253,11492,
10/20/2021,11/15/2020,11/21/2020,2020,47,11/21/2020,United States,All Counties in the U.S.,13358,71628,
10/20/2021,11/15/2020,11/21/2020,2020,47,11/21/2020,United States,Metropolitan,10596,59721,
10/20/2021,11/15/2020,11/21/2020,2020,47,11/21/2020,United States,Nonmetropolitan,2762,11907,
