,State,County Name,Urban Rural Code,FIPS,Total deaths,COVID-19 Deaths,Urban Rural Description,Pct_Deaths_by_Covid,Covid_Death_Pct_Above_Median
1399,NC,Cumberland County,3,37051,5294,576,Medium metro,10.880241783150737,0
1402,NC,Davidson County,3,37057,2711,232,Medium metro,8.557727775728512,0
1405,NC,Durham County,3,37063,6106,534,Medium metro,8.745496233213233,0
1408,NC,Edgecombe County,4,37065,985,125,Small metro,12.690355329949238,1
1411,NC,Forsyth County,3,37067,9760,1095,Medium metro,11.219262295081968,0
1414,NC,Gaston County,2,37071,4467,605,Large fringe metro,13.54376539064249,1
1417,NC,Guilford County,3,37081,10493,1227,Medium metro,11.6935099590203,0
1420,NC,Halifax County,5,37083,974,117,Micropolitan,12.012320328542096,0
1423,NC,Harnett County,5,37085,1619,188,Micropolitan,11.612106238418777,0
1426,NC,Haywood County,3,37087,1176,116,Medium metro,9.863945578231291,0
1429,NC,Henderson County,3,37089,2620,257,Medium metro,9.80916030534351,0
1432,NC,Iredell County,2,37097,2889,358,Large fringe metro,12.391831083419868,1
1435,NC,Johnston County,2,37101,2528,211,Large fringe metro,8.346518987341772,0
1438,NC,Lenoir County,5,37107,1135,162,Micropolitan,14.273127753303966,1
1441,NC,Lincoln County,2,37109,1094,133,Large fringe metro,12.157221206581353,1
1444,NC,Mecklenburg County,1,37119,14496,1849,Large central metro,12.755242825607063,1
1447,NC,Moore County,5,37125,2693,450,Micropolitan,16.709988860007428,1
1450,NC,Nash County,4,37127,1798,231,Small metro,12.847608453837598,1
1453,NC,New Hanover County,3,37129,5486,497,Medium metro,9.059423988333942,0
1456,NC,Onslow County,4,37133,1767,183,Small metro,10.35653650254669,0
1459,NC,Orange County,3,37135,2661,350,Medium metro,13.152950018789927,1
1462,NC,Pasquotank County,5,37139,981,151,Micropolitan,15.392456676860347,1
1465,NC,Pitt County,4,37147,4397,498,Small metro,11.325904025471912,0
1468,NC,Randolph County,3,37151,2317,174,Medium metro,7.509710832973673,0
