FIPS,POPESTIMATE2020,Case_Count,% Pop Cases,Total_Vaccines,% Vaccinated
5123,24682,3775,0.15294546633173972,10994,0.4454258163844097
5125,123968,12450,0.10042914300464637,53365,0.4304739932885906
5131,127590,15113,0.1184497217650286,55350,0.43381142722783916
5139,38219,3714,0.09717679688113243,16211,0.4241607577382977
5143,243216,30324,0.12467929741464377,113731,0.46761315045062823
5145,78729,7278,0.09244369927218687,31548,0.40071638151126016
5149,21181,3450,0.16288182805344412,9234,0.4359567536943487
6001,1662323,115548,0.06950995684954127,1179268,0.7094096634649223
6005,40083,4856,0.12114861662051243,19237,0.4799291470199336
6007,212744,20944,0.09844695972624375,102497,0.48178562027601246
6009,46308,3247,0.07011747430249633,25185,0.5438585125680228
6011,21558,2872,0.13322200575192503,10964,0.5085815010668894
6013,1152333,94962,0.08240847046817196,815231,0.707461298079635
6015,27968,3243,0.11595394736842106,10248,0.3664187643020595
6017,192925,15809,0.08194376052870286,107434,0.5568692497084359
6019,1000918,134404,0.13428073028959414,512108,0.5116383160258883
6021,28283,3916,0.13845773079234877,13348,0.47194427748117246
6023,134977,8111,0.06009171932995992,78270,0.5798765715640443
6025,180267,34058,0.18893086366334383,124740,0.6919735725340744
6029,901362,131983,0.146426186149405,392779,0.43576165846796294
6031,152692,29804,0.1951903177638645,58195,0.38112671259790953
6033,64479,5932,0.09199894539307371,33469,0.5190682237627755
6035,30016,6289,0.20952158848614072,9857,0.3283915245202559
6037,9943046,1429615,0.14378038681506652,6131044,0.6166162763402684
6039,157761,21528,0.13645958126533173,70429,0.44642845823746047
6041,257332,16940,0.06582935662879082,201023,0.7811815087124804
6045,86061,6706,0.07792147430311058,51459,0.5979363474744658
6047,279252,38800,0.1389426038130434,118144,0.42307306662082994
6053,430906,49288,0.11438225506258906,258407,0.5996829935067045
6055,135965,12155,0.08939800683999559,92781,0.6823888500717097
6057,99606,8340,0.08372989578941027,55940,0.5616127542517519
6059,3166857,306694,0.0968449159529464,1985524,0.6269698947568519
6061,402950,36092,0.08956942548703313,233731,0.5800496339496215
6065,2489188,356093,0.14305588810487596,1239374,0.49790293059423396
6067,1559146,148040,0.0949494146154369,894417,0.57365827190013
6069,64055,6958,0.10862540004683476,34517,0.5388650378580907
6071,2189183,345933,0.15801922452348663,1059142,0.4838069727382316
6073,3332427,348284,0.10451361725253096,1708530,0.512698402695693
6075,866606,51471,0.05939377294872179,655200,0.7560529237046594
6077,767967,96252,0.12533351042427604,396427,0.5162031701883023
6079,282249,27939,0.09898706461316072,149788,0.5306945285900039
6081,758308,51906,0.06844975920074693,556016,0.7332324068848014
6083,444766,42579,0.09573348682228408,271959,0.6114653548157908
6085,1907105,139789,0.07329905799628232,1446849,0.7586624753225438
6087,269925,19999,0.07409095119014542,188997,0.7001833842734093
6089,179027,20342,0.11362531908594793,77003,0.430119479184704
6093,43245,3800,0.08787143022314718,20707,0.47882992253439705
6095,446935,43852,0.09811717587568662,254258,0.5688925682705539
6097,489819,39151,0.07992952498780162,335964,0.6858941772368977
6099,550081,78996,0.14360794137590646,270208,0.49121493016483025
6101,96385,12891,0.1337448773149349,49291,0.5113970016081341
6103,64494,7995,0.12396502000186063,22965,0.356079635314913
6107,468680,72199,0.15404753776563967,203801,0.4348404028334898
6109,54515,6055,0.11107034761074934,28678,0.5260570485187563
6111,841387,97126,0.11543558433871691,529235,0.6290030627998768
6113,219728,19001,0.08647509648292434,132599,0.6034688341950047
6115,80160,9058,0.11299900199600799,34360,0.4286427145708583
8001,519883,67792,0.13039857044758146,302943,0.5827138029133478
8005,657452,74203,0.1128645133028723,386058,0.587203324349154
8013,327171,26666,0.08150477884653591,226034,0.6908741911722005
8014,72236,5765,0.07980785204053381,50232,0.695387341491777
8015,20661,1908,0.09234790184405402,11748,0.5686075214171628
8029,31067,3263,0.10503106189847748,13177,0.42414780957285864
8031,735538,82687,0.11241703351832265,482746,0.6563168728196231
8035,360750,35286,0.09781288981288981,225225,0.6243243243243243
8037,54929,7327,0.13339037666806242,39650,0.7218409219173842
8039,27313,2151,0.07875370702595834,8720,0.3192618899425182
8041,728310,83725,0.11495791627191718,390344,0.5359585890623498
8043,47867,7001,0.1462594271627635,18201,0.3802410846721123
8045,60366,6946,0.11506477156014976,33482,0.5546499685253288
8059,583283,55289,0.09478932182148288,402231,0.689598359629888
8067,56564,4893,0.08650378332508309,35792,0.6327699596916767
8069,360428,30788,0.08542066654089027,215600,0.5981777220415728
8075,21974,4186,0.19049786110858288,7382,0.33594247747337763
8077,155603,20207,0.12986253478403373,67544,0.43407903446591645
8083,26408,2458,0.09307785519539534,14121,0.5347243259618297
8085,43322,4339,0.10015696412907991,17894,0.41304648908175984
8087,28941,2916,0.1007567119311703,11759,0.40630938806537437
8101,169823,21327,0.12558369596579969,82452,0.4855172738674973
8107,25560,2867,0.11216744913928013,17417,0.68141627543036
8117,30631,4327,0.1412621200744344,23478,0.7664784042310078
8119,25529,2208,0.08648987426064475,12375,0.48474284147440166
8123,333983,38981,0.11671552144869649,169581,0.5077533886455299
9001,942426,102843,0.10912580934736521,676808,0.7181550593892783
9003,889226,86922,0.09775017824490062,599842,0.6745664206849552
9005,179610,15030,0.08368130950392517,124305,0.6920828461666945
9007,161657,13241,0.0819079903746822,122741,0.7592680799470484
