Urban Rural Code,Population Estimate 2020,Total Vaccines,Percent Vaccinated,Case Count,Percent of Population Cases,Total deaths,Covid Death Percent Above Median
5.0,75407.0,34599.0,45.88300820878698,7916.0,10.49769915259856,1813.0,1.0
3.0,189139.0,81775.0,43.23539830495033,13946.0,7.373413204045699,2381.0,0.0
4.0,173883.0,86117.0,49.52583058723394,11554.0,6.644697871557311,3734.0,0.0
4.0,106608.0,48632.0,45.61758967432087,15300.0,14.35164340387213,2977.0,1.0
3.0,208989.0,138349.0,66.19917794716469,20114.0,9.62442999392312,5778.0,0.0
3.0,295460.0,149364.0,50.553035943951805,22907.0,7.75299532931699,6430.0,1.0
3.0,411219.0,221872.0,53.9547054002855,32341.0,7.864665786357141,9162.0,0.0
3.0,170122.0,97306.0,57.19777571389943,19282.0,11.33421897226696,2502.0,1.0
1.0,1404396.0,847089.0,60.31696188254595,106768.0,7.60241413390525,21474.0,1.0
4.0,137588.0,66553.0,48.37122423467163,24602.0,17.88091984766113,6022.0,1.0
4.0,64939.0,29109.0,44.82514359629806,6898.0,10.62227629005682,1699.0,0.0
2.0,179062.0,85086.0,47.51761959544738,17107.0,9.553674146385047,4038.0,0.0
5.0,38738.0,18819.0,48.58020548298828,5620.0,14.507718519283392,772.0,1.0
3.0,134751.0,61840.0,45.89205274914472,21240.0,15.76240621590934,2895.0,0.0
4.0,141663.0,70980.0,50.10482624256157,17901.0,12.63632705787679,2840.0,0.0
5.0,81979.0,37188.0,45.3628368240647,12049.0,14.697666475560812,1567.0,1.0
2.0,69347.0,43045.0,62.071899289082445,10619.0,15.312846986892,932.0,0.0
5.0,40283.0,16900.0,41.95318124270784,3244.0,8.05302484919196,896.0,1.0
3.0,365449.0,179167.0,49.02653995495951,56606.0,15.48943901885078,8615.0,0.0
4.0,162518.0,96731.0,59.52017622663336,11396.0,7.0121463468661895,4491.0,0.0
5.0,44718.0,21824.0,48.80361375732368,5949.0,13.303367771367231,920.0,1.0
3.0,430906.0,258407.0,59.96829935067045,49288.0,11.4382255062589,5342.0,0.0
3.0,305892.0,181663.0,59.387953918376425,40384.0,13.202045166267832,5265.0,0.0
1.0,1559146.0,894417.0,57.36582719001299,148040.0,9.494941461543691,24768.0,0.0
3.0,265988.0,147164.0,55.32730799885709,22890.0,8.60565138276914,5977.0,0.0
5.0,34637.0,14215.0,41.03992840026561,5107.0,14.744348529029647,1018.0,1.0
5.0,56994.0,30699.0,53.86356458574587,5890.0,10.3344211671404,1097.0,1.0
5.0,129999.0,46828.0,36.02181555242733,23123.0,17.78705990046077,2378.0,0.0
3.0,227854.0,134793.0,59.15761847498837,26075.0,11.44373151228418,3977.0,0.0
2.0,29492.0,10982.0,37.23721687237217,2411.0,8.175098331750979,1741.0,0.0
4.0,127450.0,67719.0,53.1337779521381,13707.0,10.7548058061985,2113.0,0.0
1.0,242803.0,114731.0,47.25271104558016,21134.0,8.70417581331367,5697.0,0.0
1.0,1578487.0,882830.0,55.9288736619307,170109.0,10.77671213003338,31467.0,0.0
2.0,265476.0,156124.0,58.80908255360183,30519.0,11.49595443655923,2875.0,0.0
3.0,53841.0,21128.0,39.24147025501012,8885.0,16.50229379097713,1282.0,0.0
5.0,35299.0,12715.0,36.02085044902122,3499.0,9.91246210940819,887.0,1.0
6.0,33633.0,13596.0,40.42458299884042,3007.0,8.94062379210894,920.0,1.0
